"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9641","test_question_opens[2]","tests","2026-02-23","passed","2026-02-23","","test_questions","",""
"","4050","test_smoke","tests","2026-02-23","passed","2026-02-23","","test_smoke","",""
"","9935","test_question_opens[0]","tests","2026-02-23","passed","2026-02-23","","test_questions","",""
"","9801","test_question_opens[1]","tests","2026-02-23","passed","2026-02-23","","test_questions","",""
"","10066","test_question_opens[3]","tests","2026-02-23","passed","2026-02-23","","test_questions","",""
"","43132","test_create_order_positive[data1-top]","tests","2026-02-23","passed","2026-02-23","","test_order","",""
"","53469","test_create_order_positive[data0-bottom]","tests","2026-02-23","passed","2026-02-23","","test_order","",""
"","43298","test_create_order_positive[data1-bottom]","tests","2026-02-23","passed","2026-02-23","","test_order","",""
"","53693","test_create_order_positive[data0-top]","tests","2026-02-23","passed","2026-02-23","","test_order","",""
"","9793","test_question_opens[4]","tests","2026-02-23","passed","2026-02-23","","test_questions","",""
"","9908","test_question_opens[5]","tests","2026-02-23","passed","2026-02-23","","test_questions","",""
